flower,downloaded_ts,json_generated_ts,description,audio_generated_ts
zinnia,2026-07-21 14:24:32,2026-07-21 14:27:04,"A vibrant, easy-to-grow annual that blooms in nearly every color and keeps flowering all summer, drawing butterflies. In 2016 a zinnia became one of the first flowers ever grown and bloomed aboard the International Space Station.",2026-07-22 15:54:45
gardenia,2026-07-21 14:24:33,,"A glossy-leaved evergreen shrub famed for creamy white flowers with an intensely rich, heady fragrance. Notoriously fussy to grow, its blooms bruise and yellow at the slightest touch.",2026-07-22 15:54:45
camellia,2026-07-21 14:24:35,2026-07-21 14:27:08,"A handsome evergreen shrub with rose-like blooms that flower in the cold of late winter when little else does. One species, Camellia sinensis, is the plant from which all true tea, black, green, and white, is made.",2026-07-22 15:54:46
morning glory,2026-07-21 14:24:37,2026-07-21 14:27:10,"A fast-climbing vine whose trumpet-shaped flowers unfurl at dawn and wither by afternoon, giving it its name. Its blooms shift color with the soil's acidity, and its seeds are toxic.",2026-07-22 15:54:46
water lily,2026-07-21 14:24:38,2026-07-21 14:27:12,"An aquatic perennial rooted in pond mud whose round leaf pads and star-like flowers float on the surface, opening and closing with the day. It inspired Claude Monet's most famous series of paintings and is the national flower of Bangladesh.",2026-07-22 15:54:47
tiger lily,2026-07-21 14:24:40,2026-07-21 14:27:15,"A tall lily bearing downward-facing orange blooms speckled with dark spots and dramatically curled-back petals. Tiny dark bulbils form along its stem, letting it reproduce without seeds, and its buds are eaten as a vegetable in East Asia.",2026-07-22 15:54:48
cherry blossom,2026-07-21 14:24:42,2026-07-21 14:27:24,"The fleeting pink-white bloom of ornamental cherry trees, called sakura in Japan, where its brief spring flowering symbolizes the beauty and impermanence of life. Crowds gather for hanami, the tradition of picnicking beneath the blossoms.",2026-07-22 15:54:48
bluebell,2026-07-21 14:24:43,2026-07-21 14:27:26,"A woodland bulb that carpets European forests in a haze of nodding, bell-shaped violet-blue flowers each spring. A protected species in the UK, it is steeped in folklore as a fairy flower.",2026-07-22 15:54:49
crocus,2026-07-21 14:24:45,2026-07-21 14:27:29,"A tiny, cup-shaped bulb that is among the very first flowers to push through late-winter snow. One autumn-blooming species yields saffron, the world's most expensive spice, hand-harvested from just three red stigmas per flower.",2026-07-22 15:54:49
hyacinth,2026-07-21 14:24:47,2026-07-21 14:27:31,"A spring bulb that produces a dense, cone-shaped spike of waxy, star-shaped flowers with an exceptionally strong, sweet fragrance. Grown in tight clusters, its blooms come in vivid blues, purples, pinks, and whites.",2026-07-22 15:54:50
