fish,downloaded_ts,json_generated_ts,description,audio_generated_ts
anglerfish,2026-07-18 19:23:45,,"A deep-sea predator that dangles a glowing, bacteria-lit lure from its head to draw prey into its enormous jaws in the lightless depths. In some species the tiny male permanently fuses to the much larger female, becoming little more than an attached source of sperm.",2026-07-22 15:54:00
pufferfish,2026-07-18 19:23:46,2026-07-21 15:33:53,"A slow-swimming fish that gulps water to inflate into a spiky ball when threatened, and carries tetrodotoxin far deadlier than cyanide. Despite the poison it is served as the delicacy fugu, prepared only by specially licensed chefs.",2026-07-22 15:54:00
angelfish,2026-07-18 19:23:48,2026-07-21 15:33:55,"A tall, laterally flattened cichlid from the Amazon, popular in aquariums for its graceful trailing fins. Angelfish pair off for life and both parents guard their eggs against intruders.",2026-07-22 15:54:01
betta,2026-07-18 19:23:49,2026-07-21 15:33:58,"A brilliantly colored freshwater fish from Southeast Asia, also called the Siamese fighting fish because males flare and battle over territory. Bettas breathe air at the surface using a special labyrinth organ, letting them survive in low-oxygen water.",2026-07-22 15:54:01
guppy,2026-07-18 19:23:51,2026-07-21 15:34:01,"A tiny, hardy livebearer that gives birth to free-swimming young rather than laying eggs, and breeds so readily it's nicknamed the 'million fish.' Males sport vivid, endlessly varied color patterns to attract mates.",2026-07-22 15:54:02
koi,2026-07-18 19:23:52,2026-07-21 15:34:03,"An ornamental variety of carp bred in Japan for striking color patterns and kept in garden ponds as living art. Koi are remarkably long-lived, with some documented at over 200 years old.",2026-07-22 15:54:02
eel,2026-07-18 19:23:53,2026-07-21 15:34:05,A snake-like fish that begins life as a transparent leaf-shaped larva drifting on ocean currents before transforming. European and American eels famously travel thousands of miles to spawn in the Sargasso Sea and then die.,2026-07-22 15:54:03
stingray,2026-07-18 19:23:54,2026-07-21 15:34:07,"A flattened relative of sharks that glides along the seafloor and buries in sand to ambush prey, sensing them by electric field. Its whip-like tail carries a venomous, serrated barb used only in self-defense.",2026-07-22 15:54:04
seahorse,2026-07-18 20:38:03,2026-07-21 15:34:10,"An upright-swimming fish that anchors itself to seagrass with a prehensile tail and moves with a rapidly fluttering fin. Uniquely, the male carries the eggs in a belly pouch and gives birth to the young.",2026-07-22 15:54:04
barracuda,2026-07-18 20:38:04,2026-07-21 15:34:12,"A sleek, fast ambush predator with a mouthful of dagger-like teeth that strikes prey in sudden bursts. Curious and drawn to shiny objects, large barracuda often shadow divers in tropical waters.",2026-07-22 15:54:05
snapper,2026-07-18 20:38:07,2026-07-21 15:34:14,"A reef and coastal fish prized for its firm, flavorful flesh, named for the audible snapping sound it makes with its jaws. Red snapper can live over 50 years.",2026-07-22 15:54:05
grouper,2026-07-18 20:38:08,2026-07-21 15:34:17,A heavy-bodied reef predator that swallows prey whole by suddenly opening its cavernous mouth to create suction. Goliath groupers can reach several hundred pounds and change sex as they mature.,2026-07-22 15:54:06
mackerel,2026-07-18 20:38:10,2026-07-21 15:34:19,"A fast, streamlined schooling fish with an oily, omega-3-rich body and vivid iridescent stripes. Mackerel must keep swimming continuously to breathe and are a key food source for larger ocean predators.",2026-07-22 15:54:06
sardine,2026-07-18 20:38:13,2026-07-21 15:34:20,"A small, silvery schooling fish that moves in enormous shimmering shoals as protection against predators. Sardines are rich in oils and nutrients and form the base of many marine food webs.",2026-07-22 15:54:07
herring,2026-07-18 20:38:15,2026-07-21 15:34:22,A small silver schooling fish central to ocean food chains and long a staple of human diets. Herring communicate by releasing bursts of bubbles and gather in shoals numbering in the billions.,2026-07-22 15:54:07
cod,2026-07-18 20:38:17,2026-07-21 15:34:24,A cold-water bottom fish with a mild white flesh that shaped the economies and exploration history of the North Atlantic. A single female cod can release millions of eggs in one spawning season.,2026-07-22 15:54:08
halibut,2026-07-18 20:38:19,2026-07-21 15:34:26,"The largest of the flatfishes, a flounder relative that lies on the ocean floor with both eyes migrated to one side of its body. Halibut can grow to hundreds of pounds and live for decades.",2026-07-22 15:54:09
flounder,2026-07-18 20:38:22,2026-07-21 15:34:28,"A flatfish that starts life with an eye on each side, then has one eye migrate over as it turns to lie on the seabed. It changes color to blend into the bottom and ambushes passing prey.",2026-07-22 15:54:09
piranha,2026-07-18 20:38:24,2026-07-21 15:34:30,"A South American freshwater fish with razor-sharp interlocking teeth and a powerful bite, feeding in groups. Despite their fearsome reputation, most piranhas are opportunistic scavengers rather than aggressive hunters.",2026-07-22 15:54:10
carp,2026-07-18 20:38:26,2026-07-21 15:34:32,"A hardy, adaptable freshwater fish that thrives in a wide range of conditions and roots through bottom mud for food. Introduced worldwide, carp are prized in some cultures and considered invasive pests in others.",2026-07-22 15:54:10
tilapia,2026-07-18 20:38:27,2026-07-21 15:34:34,"A fast-growing, hardy freshwater fish farmed around the world for its mild flesh and tolerance of crowded conditions. Many tilapia are mouthbrooders, sheltering their eggs and young inside the parent's mouth.",2026-07-22 15:54:11
bass,2026-07-18 20:38:28,2026-07-21 15:34:37,"A popular predatory game fish found in fresh and salt water, known for the fierce fight it puts up when hooked. Largemouth bass ambush prey from cover and are among the most sought-after sport fish.",2026-07-22 15:54:12
pike,2026-07-18 20:38:29,2026-07-21 15:34:39,"A long, torpedo-shaped freshwater ambush predator with a duck-bill snout full of backward-slanting teeth. Pike lie motionless among weeds before exploding forward to seize fish, frogs, and even ducklings.",2026-07-22 15:54:12
perch,2026-07-18 20:38:30,2026-07-21 15:34:41,"A spiny-finned freshwater fish with distinctive dark vertical bars, common in lakes and rivers and popular with anglers. Perch travel in schools and are prized for their flaky, mild flesh.",2026-07-22 15:54:13
tarpon,2026-07-18 20:38:31,2026-07-21 15:34:43,"A large, silver-scaled coastal game fish famous for leaping high out of the water when hooked. Tarpon can gulp air at the surface to survive in low-oxygen water and may live over 50 years.",2026-07-22 15:54:13
mahi mahi,2026-07-18 20:38:32,,"A fast-growing, brilliantly colored open-ocean fish, also called dorado, that flashes gold, blue, and green before fading after being caught. Mahi mahi are among the quickest-growing fish in the sea.",2026-07-22 15:54:14
wahoo,2026-07-18 20:38:33,,"A sleek, extremely fast predator of tropical waters, capable of bursts around 60 mph, prized by anglers for its speed and firm white flesh. Its razor-toothed jaws slice prey with ease.",2026-07-22 15:54:14
sailfish,2026-07-18 20:38:34,,"Often considered the fastest fish in the ocean, named for its huge dorsal fin that it raises like a sail. Sailfish work together to herd baitfish and can rapidly change color to signal and confuse prey.",2026-07-22 15:54:15
sturgeon,2026-07-18 20:38:35,2026-07-21 15:34:50,"An ancient, armor-plated fish nearly unchanged for over 100 million years, with rows of bony plates instead of scales. Sturgeon can live over a century and are the source of prized caviar.",2026-07-22 15:54:15
walleye,2026-07-18 20:38:36,2026-07-21 15:34:52,"A freshwater predator named for its large, glassy eyes that gather light, letting it hunt at dawn, dusk, and in murky water. Walleye are a favorite catch for their flaky, mild fillets.",2026-07-22 15:54:16
bluegill,2026-07-18 20:38:37,,"A small, colorful North American sunfish with a dark spot on its gill flap, common in ponds and lakes. Bluegill are aggressive biters that make them a favorite first catch for young anglers.",2026-07-22 15:54:16
crappie,2026-07-18 20:38:38,,"A popular panfish found in schools around submerged cover in lakes and reservoirs, prized for its sweet, flaky flesh. Crappie feed most actively in low light and gather in large numbers when spawning.",2026-07-22 15:54:17
mullet,2026-07-18 20:38:40,2026-07-21 15:34:58,"A schooling coastal fish that feeds by sifting algae and detritus from the bottom, and is known for leaping repeatedly from the water. Mullet are a vital baitfish and food source in warm coastal waters.",2026-07-22 15:54:18
pompano,2026-07-18 20:38:41,,"A prized, deep-bodied coastal fish with rich, buttery flesh, feeding on small crustaceans in the surf zone. Fast and strong, pompano are a favorite of surf anglers.",2026-07-22 15:54:18
snook,2026-07-18 20:38:41,,"A prized inshore game fish of warm coastal waters, recognized by the bold black lateral line down its side. Snook are sensitive to cold and ambush prey around mangroves, docks, and passes.",2026-07-22 15:54:19
tilefish,2026-07-18 20:38:42,,"A colorful deep-water bottom fish that digs burrows in the seafloor sediment where it shelters. Slow-growing and long-lived, tilefish are valued for their sweet, crab-like flavor.",2026-07-22 15:54:19
rockfish,2026-07-18 20:38:44,,"A group of long-lived reef and deep-water fish, some surviving more than a century, that give birth to live young rather than laying eggs. Many have venomous spines and vivid coloring.",2026-07-22 15:54:20
lionfish,2026-07-18 20:38:45,2026-07-21 15:35:05,"A striking reef fish armed with venomous spines fanned out like a mane, native to the Indo-Pacific. An aggressive invasive species in the Atlantic and Caribbean, it devours native fish and has few natural predators there.",2026-07-22 15:54:20
moray eel,2026-07-18 20:38:46,2026-07-21 15:35:07,A muscular reef eel that hides in crevices and grips prey with a second set of jaws hidden in its throat that shoot forward to pull food down. Its constant open-mouthed gaping is simply how it pumps water to breathe.,2026-07-22 15:54:21
hammerhead shark,2026-07-18 20:38:46,2026-07-21 15:35:09,"A shark whose wide, flattened head spreads its eyes and electrical sensors far apart, giving it near-360-degree vision and sharper prey detection. Hammerheads use the broad head to pin stingrays against the seabed.",2026-07-22 15:54:21
whale shark,2026-07-18 20:38:47,2026-07-21 15:35:12,"The largest fish in the world, a gentle giant reaching 40 feet that filters plankton and tiny fish from the water as it cruises. Each whale shark's pattern of white spots is unique, like a fingerprint.",2026-07-22 15:54:22
manta ray,2026-07-18 20:38:48,2026-07-21 15:35:14,"The largest of the rays, spanning up to 29 feet, that soars through open water by flapping wing-like fins and filter-feeds on plankton. Mantas have the largest brain of any fish and appear to recognize themselves in mirrors.",2026-07-22 15:54:23
discus fish,2026-07-18 20:38:49,2026-07-21 15:35:16,"A round, disc-shaped Amazonian cichlid prized in aquariums for its jewel-like colors and patterns. Discus parents secrete a nutritious mucus on their skin that their fry feed on for their first days of life.",2026-07-22 15:54:23
molly fish,2026-07-18 20:38:50,,"A hardy, adaptable livebearer that thrives in fresh, brackish, or salt water and gives birth to free-swimming young. Mollies are peaceful, social aquarium fish that come in many colors including the popular black molly.",2026-07-22 15:54:24
oscar fish,2026-07-18 20:38:51,,"A large, intelligent South American cichlid known for recognizing its owner and rearranging its aquarium to suit itself. Oscars can change color with mood and are sometimes kept like aquatic pets.",2026-07-22 15:54:24
gourami,2026-07-18 20:38:52,2026-07-21 15:35:22,"A labyrinth fish from Southeast Asia that gulps air at the surface to breathe, letting it live in stagnant, oxygen-poor water. Many gouramis build floating nests of bubbles to hold their eggs.",2026-07-22 15:54:25
loach,2026-07-18 20:38:53,2026-07-21 15:35:24,"A slender bottom-dwelling fish with barbels for feeling out food in sand and gravel. Some loaches are famous for reacting to changes in air pressure, earning the nickname 'weather fish.'",2026-07-22 15:54:25
plecostomus,2026-07-18 20:38:59,,"An armored South American catfish, popular in aquariums as an algae-eater, that clings to surfaces with a sucker-like mouth. Its body is covered in bony plates, and it can gulp air to survive low-oxygen water.",2026-07-22 15:54:26
arowana,2026-07-18 20:39:00,,"A large, ancient surface-dwelling predator that can leap several feet out of the water to snatch insects and even birds from overhanging branches. Prized in Asia as a symbol of luck, some arowana brood their young inside the parent's mouth.",2026-07-22 15:54:26
garfish,2026-07-18 20:39:01,,"A long, slender freshwater predator armored in tough diamond-shaped scales, with a needle-like jaw full of teeth. Gars can breathe air through a specialized swim bladder, surviving where other fish suffocate.",2026-07-22 15:54:27
bowfin,2026-07-18 20:39:02,,"A living fossil and sole survivor of an ancient fish lineage, able to breathe air with a lung-like swim bladder to endure stagnant water. Male bowfins fiercely guard the nest and their swarming young.",2026-07-22 15:54:27
sunfish,2026-07-18 21:15:11,,"The ocean sunfish, or mola, is the heaviest bony fish in the world, a strange disc-shaped giant that seems to be all head. It basks flat at the surface to warm up and can release hundreds of millions of eggs at once.",2026-07-22 15:54:28
dolphin,2026-07-18 21:15:12,2026-07-21 15:35:33,"A highly intelligent marine mammal, not a fish, that hunts and navigates using echolocation, bouncing clicks off objects to 'see' with sound. Dolphins call each other by signature whistles that act like names and sleep one brain-half at a time.",2026-07-22 15:54:29
octopus,2026-07-18 21:15:13,2026-07-21 15:35:36,"A soft-bodied mollusk, not a fish, with three hearts, blue blood, and eight arms lined with tasting, gripping suckers. Octopuses can instantly change color and texture to vanish into their surroundings and are famous problem-solvers that open jars and escape enclosures.",2026-07-22 15:54:29
starfish,2026-07-18 21:15:14,2026-07-21 15:35:38,"An echinoderm, not a fish, that moves on hundreds of tiny tube feet and can regrow lost arms, with some species regrowing an entire body from a single limb. It has no brain or blood and pushes its stomach out of its body to digest prey.",2026-07-22 15:54:30
crab,2026-07-18 21:17:47,2026-07-21 15:35:40,"A ten-legged crustacean, not a fish, encased in a hard shell it must molt to grow, and famous for walking sideways. Crabs range from pea-sized to the giant Japanese spider crab spanning over 12 feet claw to claw.",2026-07-22 15:54:30
