insects,downloaded_ts,json_generated_ts,description,audio_generated_ts
aphid,2026-07-23 09:48:51,2026-07-23 10:09:55,"A tiny, soft-bodied insect that pierces plant stems to feed on sap and can reproduce without mating, giving live birth to daughters already pregnant with the next generation. Ants often ""farm"" aphids, protecting them from predators in exchange for the sweet honeydew they excrete.",2026-07-23 10:23:59
cicada,2026-07-23 09:48:52,2026-07-23 10:09:59,A large-eyed insect famous for the droning buzz males produce with a pair of ribbed membranes called tymbals. Some species spend 13 or 17 years underground as nymphs before emerging together in a single synchronized swarm.,2026-07-23 10:23:59
flea,2026-07-23 09:48:54,2026-07-23 10:10:02,"A wingless, blood-feeding insect flattened side-to-side so it can slip easily through fur or feathers. Relative to its size, a flea can jump over 150 times its own body length, powered by a spring-like pad of resilin in its legs.",2026-07-23 10:24:00
earwig,2026-07-23 09:48:55,,"A slender insect identified by the pair of pincer-like appendages, called cerci, at the tip of its abdomen. Despite an old myth, earwigs don't crawl into ears to lay eggs; they use those pincers mainly to fold their wings and fend off predators.",2026-07-23 10:24:00
silverfish,2026-07-23 09:48:56,,"A wingless, silvery insect with a fish-like wriggling gait that thrives in damp, dark places like basements and bookshelves. It can survive for months without eating and happily digests the starchy glue and cellulose found in old book bindings and wallpaper paste.",2026-07-23 10:24:01
mayfly,2026-07-23 09:48:58,2026-07-23 10:10:08,"A short-lived winged insect that molts one final time as an adult, the only insect known to shed its skin after growing wings. Adults have no working mouthparts at all and often live for less than a day, existing solely to mate before dying.",2026-07-23 10:24:02
lacewing,2026-07-23 09:49:00,2026-07-23 10:10:10,"A delicate, pale-green insect named for the intricate network of veins running through its transparent wings. Its larvae, nicknamed ""aphid lions,"" pierce prey and suck them dry, then pile the empty husks onto their own backs as camouflage.",2026-07-23 10:24:02
antlion,2026-07-23 09:49:01,,"An insect whose larva digs a cone-shaped pit in loose sand and waits buried at the bottom to ambush ants that stumble in. It flicks sand at struggling prey to trigger a mini avalanche, dragging the victim down before injecting paralyzing digestive enzymes.",2026-07-23 10:24:03
katydid,2026-07-23 09:49:03,2026-07-23 10:10:14,"A leaf-mimicking relative of the grasshopper named for the call of some species, which sounds like it's repeating ""katy-did."" Its ears are located on its front legs, just below the knee joint, rather than on its head.",2026-07-23 10:24:03
locust,2026-07-23 09:49:05,2026-07-23 10:10:16,"A type of grasshopper that can switch from a solitary lifestyle to a swarming ""gregarious"" phase when population density spikes. A single locust swarm can contain billions of insects and strip an area of vegetation in a matter of hours.",2026-07-23 10:24:04
leafhopper,2026-07-23 09:49:06,2026-07-23 10:10:18,"A small, wedge-shaped insect that walks sideways and can leap suddenly by snapping its hind legs, giving it its name. It excretes excess sap through fine tubes on its rear, sometimes spun into sugary threads.",2026-07-23 10:24:04
treehopper,2026-07-23 09:49:08,,"An odd-looking insect topped with an oversized, ornate helmet-like extension of its exoskeleton that can mimic a thorn or fungus. Scientists still debate exactly how such an elaborate structure grows, since it develops from tissue unlike any other insect's.",2026-07-23 10:24:05
planthopper,2026-07-23 09:49:09,2026-07-23 10:10:21,"A sap-feeding insect related to cicadas, some species of which disguise themselves as fluffy white fungus by coating their bodies in waxy filaments. Certain planthopper nymphs launch themselves using literal interlocking, gear-like structures on their hind legs, unique in the animal kingdom.",2026-07-23 10:24:05
giant weta,2026-07-23 10:08:41,,"One of the heaviest insects in the world, this flightless, cricket-like giant from New Zealand can weigh more than a sparrow. Predator-free for millions of years on its remote islands, it never evolved defenses against introduced rats and cats, leaving it critically endangered today.",2026-07-23 10:24:06
stinkbug,2026-07-23 09:49:10,,"A shield-shaped insect that releases a pungent defensive odor from glands on its thorax when it feels threatened or is crushed. That same chemical can taint fruit crops, and a stinkbug can travel indoors in fall to overwinter in huge, unwelcome clusters.",2026-07-23 10:24:07
bedbug,2026-07-23 09:49:11,,"A flat, reddish-brown insect that hides in mattress seams and furniture by day and emerges at night to feed on sleeping hosts' blood. It can survive many months without a meal, waiting patiently for a host to return.",2026-07-23 10:24:07
deer fly,2026-07-23 10:08:42,2026-07-23 10:10:28,"A stocky, patterned fly whose females slice into skin with scissor-like mouthparts to drink blood, often circling a target's head before landing. Unlike mosquitoes, deer flies track movement and body heat so persistently that outrunning one rarely works.",2026-07-23 10:24:08
gnat,2026-07-23 09:49:15,,"A small, delicate flying insect often seen swarming in tight clouds at dusk, a mating display called a lek. Many gnats never bite at all; the itchy ""gnat bites"" people blame are usually from other tiny biting flies.",2026-07-23 10:24:08
midge,2026-07-23 09:49:16,,"A minute, mosquito-like fly whose non-biting species swarm in enormous mating clouds near lakes and rivers at dusk. Midge larvae, called bloodworms for their color, are so tolerant of low oxygen that they thrive in polluted water where few other insects can survive.",2026-07-23 10:24:09
thrips,2026-07-23 09:49:18,,"A slender, fringed-wing insect so small it's often mistaken for a speck of dust, yet it can spread plant viruses as it feeds. Unlike most insects, thrips feed by piercing a single plant cell and sucking out its contents rather than chewing.",2026-07-23 10:24:09
sawfly,2026-07-23 09:49:20,2026-07-23 10:10:35,"A wasp relative named for the female's saw-toothed egg-laying organ, which she uses to cut slits into plant stems and leaves. Unlike true wasps, sawfly larvae look almost exactly like caterpillars and can feed in groups that strip a branch bare in days.",2026-07-23 10:24:10
springtail,2026-07-23 09:49:22,2026-07-23 10:10:37,"A tiny, primitive soil-dwelling arthropod that flings itself into the air using a spring-loaded, fork-like appendage folded under its abdomen. Springtails are so abundant that a single square yard of forest soil can hold tens of thousands of them.",2026-07-23 10:24:11
june bug,2026-07-23 10:08:44,,"A chunky, reddish-brown scarab that emerges by the thousands on early summer evenings and clatters clumsily into porch lights and screen doors. Its grub spends up to three years underground feeding on plant roots before finally emerging as an adult for just a few weeks.",2026-07-23 10:24:11
crane fly,2026-07-23 10:08:46,2026-07-23 10:10:41,"A long-legged, mosquito-like fly often mistaken for a giant mosquito, though adults have no interest in biting anyone. Its legs are so fragile that several detach in a predator's grasp, letting the rest of the crane fly simply fly away.",2026-07-23 10:24:12
assassin bug,2026-07-23 09:49:24,,"A patient ambush predator that stabs prey with a curved, straw-like beak and injects saliva that liquefies the victim's insides. Some species pile the drained exoskeletons of past meals onto their own backs as a grim disguise against predators.",2026-07-23 10:24:12
inchworm,2026-07-23 09:49:25,,"The looping caterpillar of a geometer moth, named for the way it arches its body into a loop to ""measure"" its path forward. It has legs only at the front and back of its body, forcing it into that distinctive looping crawl.",2026-07-23 10:24:13
silkworm,2026-07-23 09:49:27,,"The caterpillar of the domesticated silk moth, prized for spinning a single continuous thread of silk that can stretch over 3,000 feet to form its cocoon. It has been bred by humans for silk production for so many thousands of years that it can no longer survive or fly in the wild.",2026-07-23 10:24:13
