reptiles,col2,json_generated_ts,description,audio_generated_ts
cobra,2026-07-19 14:34:46,2026-07-21 14:17:54,"A venomous snake famous for rearing up and flattening its neck ribs into a wide, intimidating hood when threatened. Some cobra species can spit venom accurately at a target's eyes from several feet away as a defense rather than for hunting.",2026-07-23 10:31:59
python,2026-07-19 14:34:47,2026-07-21 14:17:57,"A large, non-venomous constrictor that kills by coiling around prey and tightening with each exhale until circulation stops. Pythons can unhinge their jaws so widely that some species are able to swallow prey larger than their own head.",2026-07-23 10:32:00
viper,2026-07-19 14:34:48,2026-07-21 14:17:59,"A venomous snake with long, hinged fangs that fold flat against the roof of the mouth until they swing forward to strike. Most vipers are ambush hunters, relying on camouflage to stay hidden rather than chasing down their prey.",2026-07-23 10:32:00
boa constrictor,2026-07-19 14:34:49,,"A heavy-bodied, non-venomous snake that subdues prey by squeezing just tightly enough to stop its victim's heartbeat rather than crushing bones. Boa constrictors give birth to live young instead of laying eggs, unusual among snakes.",2026-07-23 10:32:01
anaconda,2026-07-19 14:34:51,2026-07-21 14:18:03,"One of the heaviest snakes in the world, spending most of its life submerged in slow-moving rivers and swamps with only its eyes and nostrils above water. Female anacondas can grow far larger than males and give birth to dozens of live young at once.",2026-07-23 10:32:01
garter snake,2026-07-19 14:34:52,2026-07-21 15:36:32,"A slender, striped snake common across gardens and fields in North America, mildly toxic to small prey but harmless to humans. Garter snakes can emerge from hibernation in such large numbers that thousands sometimes gather in a single den.",2026-07-23 10:32:02
copperhead,2026-07-19 14:34:53,,"A thick-bodied venomous snake with a coppery, hourglass-patterned back that blends seamlessly into fallen leaves. When startled, a copperhead often freezes and relies on camouflage rather than fleeing, which is why most bites happen when people accidentally step too close.",2026-07-23 10:32:03
king snake,2026-07-19 14:34:54,2026-07-21 15:36:35,"A non-venomous snake known for preying on other snakes, including venomous species, since it carries a natural resistance to their venom. Its tight, constricting coils give it its name, as it's considered the ""king"" of the snakes it hunts.",2026-07-23 10:32:03
sea turtle,2026-07-19 14:34:55,2026-07-21 15:36:38,"A marine reptile with paddle-like flippers instead of legs, built for gliding through open ocean rather than walking on land. Female sea turtles return to lay eggs on the very same beach where they hatched decades earlier, guided by Earth's magnetic field.",2026-07-23 10:32:04
box turtle,2026-07-19 14:34:56,,"A land-dwelling turtle with a hinged lower shell that can close almost completely, sealing the head, legs, and tail inside like a box. Box turtles can live for over 50 years and often return to the very same small patch of forest their entire lives.",2026-07-23 10:32:04
terrapin,2026-07-19 14:34:58,,"A turtle that lives in the brackish water where rivers meet the sea, tolerating salt levels that would trouble most freshwater turtles. Terrapins have strong, ridged jaws adapted for cracking open snails and clams.",2026-07-23 10:32:05
caiman,2026-07-19 14:34:59,,"A crocodile relative found throughout Central and South America, generally smaller than true crocodiles and covered in bony plates even on its belly. Caimans are surprisingly vocal communicators, exchanging low infrasonic rumbles too deep for humans to hear.",2026-07-23 10:32:05
gharial,2026-07-19 14:35:00,,"A slender-snouted crocodilian adapted almost entirely for catching fish, its long thin jaws lined with over 100 interlocking teeth. Adult males grow a bulbous knob on the tip of the snout, used to make buzzing sounds and blow bubbles to attract mates.",2026-07-23 10:32:06
