butterfly,downloaded_ts,json_generated_ts,description,audio_generated_ts
common wood nymph,2026-07-21 15:29:07,,"A soft brown woodland butterfly bearing two prominent eyespots on each forewing, often set in a yellow patch. It flies with a bobbing motion through grassy clearings and shady edges.",2026-07-22 15:53:26
peacock butterfly,2026-07-21 15:29:09,2026-07-21 15:31:55,"A striking Eurasian butterfly with a large, vivid eyespot on each of its four wings that it flashes to startle predators. When threatened it can also rub its wings together to produce a hissing sound.",2026-07-22 15:53:27
small tortoiseshell,2026-07-21 15:29:11,,"A common European butterfly with orange wings patterned in black, yellow, and a border of blue crescents. It hibernates as an adult, often in sheds and houses, and is one of the first butterflies on the wing in spring.",2026-07-22 15:53:28
common blue,2026-07-21 15:29:12,,"A small butterfly whose males flash brilliant violet-blue wings while females are brown with orange spots. Widespread across Europe and Asia, its caterpillars are often tended and protected by ants.",2026-07-22 15:53:28
purple emperor,2026-07-21 15:29:15,,"A large, elusive woodland butterfly whose males shimmer with an iridescent purple sheen visible only at certain angles. Rather than nectar, it feeds on tree sap, dung, and carrion high in the treetops.",2026-07-22 15:53:29
white admiral,2026-07-21 15:29:16,,"A dark butterfly with a bold white band sweeping across each wing, gliding elegantly through woodland glades. Its caterpillars overwinter tucked inside a rolled honeysuckle leaf called a hibernaculum.",2026-07-22 15:53:29
speckled wood,2026-07-21 15:29:17,,"A brown woodland butterfly dappled with cream spots, perfectly camouflaged in the shifting patches of sun and shade where it lives. Males defend sunlit spots and spiral upward in aerial duels with rivals.",2026-07-22 15:53:30
red lacewing,2026-07-21 15:29:18,,"A vivid crimson tropical butterfly of Asia with intricate black-and-white lacework patterning its wing edges. Its caterpillars feed on passionflower vines and are covered in branching, spiky defensive projections.",2026-07-22 15:53:30
owl butterfly,2026-07-21 15:29:20,,"A large tropical butterfly whose hind wings bear enormous eyespots resembling an owl's eyes, likely startling or misdirecting predators. Active at dusk, it feeds on rotting fruit rather than flowers.",2026-07-22 15:53:31
glasswing butterfly,2026-07-21 15:29:21,,"A tropical butterfly whose wings are almost entirely transparent, lacking the colored scales of other species so light passes straight through. This natural invisibility helps it hide from predators as it flies through the rainforest.",2026-07-22 15:53:31
