dinosaur,downloaded_ts,json_generated_ts,description,audio_generated_ts
pachycephalosaurus,2026-07-19 15:34:20,,"A two-legged plant-eater famous for its dome-shaped skull, up to ten inches of solid bone ringed with knobs and spikes. Whether it used the dome for head-butting rivals or flank-butting is still debated.",2026-07-22 15:53:39
carnotaurus,2026-07-19 15:34:21,,"A fast, lightly built predator from South America with distinctive bull-like horns above its eyes and absurdly tiny arms even shorter than a T. rex's. Fossilized skin impressions show it was covered in rows of bony bumps.",2026-07-22 15:53:40
deinonychus,2026-07-19 15:34:23,,"A sickle-clawed raptor whose discovery transformed science's view of dinosaurs as active, agile, warm-blooded animals rather than sluggish reptiles. Its name means 'terrible claw,' and it likely hunted in coordinated groups.",2026-07-22 15:53:40
compsognathus,2026-07-19 15:34:24,,"One of the smallest known dinosaurs, roughly the size of a chicken or turkey, a nimble Jurassic predator that chased down lizards and insects. A fossilized lizard was found preserved in one specimen's stomach.",2026-07-22 15:53:41
archaeopteryx,2026-07-19 15:34:26,,"A crow-sized creature bridging dinosaurs and birds, with feathered wings but also teeth, clawed fingers, and a long bony tail. Its discovery just after Darwin's theory offered striking evidence of evolution.",2026-07-22 15:53:41
dilophosaurus,2026-07-19 15:34:27,,"An early Jurassic predator distinguished by a pair of thin, curved crests on its head, likely used for display. The venom-spitting neck frill from film is pure fiction; the real animal was larger and had no such feature.",2026-07-22 15:53:42
gallimimus,2026-07-19 15:34:28,,"A tall, ostrich-like dinosaur built for speed, with long legs, a small toothless beaked head, and slender arms. It likely sprinted from predators across open Cretaceous plains, feeding on plants, insects, and small animals.",2026-07-22 15:53:42
therizinosaurus,2026-07-19 15:34:31,,"A bizarre plant-eater with the longest claws of any known animal, sword-like talons up to three feet long on its hands. Despite this fearsome armament, it used them to hook and pull vegetation rather than to hunt.",2026-07-22 15:53:43
styracosaurus,2026-07-19 15:34:34,,"A horned herbivore related to Triceratops, sporting a single long nose horn and a spectacular frill fringed with long spikes. These flamboyant displays likely helped it intimidate rivals and attract mates.",2026-07-22 15:53:44
corythosaurus,2026-07-19 15:34:35,,"A duck-billed dinosaur crowned with a tall, rounded crest resembling a helmet, which housed nasal passages that may have amplified its calls. Well-preserved fossils reveal its skin texture and even stomach contents.",2026-07-22 15:53:44
maiasaura,2026-07-19 15:34:36,,"A duck-billed herbivore whose name means 'good mother lizard,' known from a nesting colony that showed dinosaurs cared for their young. Fossil nests held eggs, hatchlings, and evidence that parents brought food to the nest.",2026-07-22 15:53:45
oviraptor,2026-07-19 15:34:36,,"A feathered, beaked dinosaur once wrongly accused of stealing eggs, its name meaning 'egg thief.' Later finds revealed it was actually a devoted parent brooding its own nest, exonerating a decades-old misunderstanding.",2026-07-22 15:53:45
protoceratops,2026-07-19 15:34:37,,"A sheep-sized early relative of the horned dinosaurs, with a bony neck frill but no large horns, common in the deserts of Mongolia. A famous fossil captures one locked in mortal combat with a Velociraptor.",2026-07-22 15:53:46
plesiosaurus,2026-07-19 15:34:37,,"A long-necked marine reptile, not a dinosaur, that rowed through Jurassic seas with four wing-like flippers. Its silhouette of a tiny head on a serpentine neck inspired popular images of the Loch Ness Monster.",2026-07-22 15:53:46
mosasaurus,2026-07-19 15:34:37,,"A colossal marine reptile, not a dinosaur, that ruled the Late Cretaceous oceans with powerful jaws and a shark-like tail. A relative of modern monitor lizards and snakes, it could exceed 50 feet in length.",2026-07-22 15:53:47
pteranodon,2026-07-19 15:34:38,,"A large toothless flying reptile with a wingspan over 20 feet and a long backward-pointing head crest that may have acted as a rudder. It soared over Cretaceous seas, likely snatching fish from the surface.",2026-07-22 15:53:47
quetzalcoatlus,2026-07-19 15:34:38,,"One of the largest flying animals ever, a pterosaur with a wingspan approaching that of a small plane, roughly 33 feet. On the ground it stood as tall as a giraffe and likely stalked prey on all fours before launching into flight.",2026-07-22 15:53:48
megalosaurus,2026-07-19 15:34:40,,"The very first dinosaur to be scientifically named, in 1824, long before the word 'dinosaur' existed. This large Jurassic predator was initially reconstructed as a hulking quadruped before science understood its true two-legged form.",2026-07-22 15:53:49
giganotosaurus,2026-07-19 15:34:41,,"A South American predator that rivaled or exceeded T. rex in length, hunting the giant long-necked sauropods of its time. Despite its enormous skull, its brain was relatively small and shaped for a keen sense of smell.",2026-07-22 15:53:49
albertosaurus,2026-07-19 15:34:41,,"A smaller, lighter cousin of T. rex from Late Cretaceous Canada, built for greater speed with the same tiny arms and powerful jaws. Bonebeds suggest these tyrannosaurs may have moved and hunted in groups.",2026-07-22 15:53:50
baryonyx,2026-07-19 15:34:44,,"A fish-eating predator with a long crocodile-like snout, finely serrated teeth, and huge hooked thumb claws for hooking prey. Fish scales found in its stomach confirmed a diet unusual among large meat-eating dinosaurs.",2026-07-22 15:53:50
ceratosaurus,2026-07-19 15:34:45,,"A Jurassic predator distinguished by a prominent blade-like horn on its snout and smaller ridges over its eyes. It also bore a row of bony armor down its back, unusual among the big carnivores.",2026-07-22 15:53:51
euoplocephalus,2026-07-19 15:34:46,,"A heavily armored, club-tailed herbivore even more thoroughly protected than most, with bony plates covering its body and armored eyelids. It likely swung its heavy tail club to fend off predators.",2026-07-22 15:53:51
kentrosaurus,2026-07-19 15:34:47,,"A smaller relative of Stegosaurus from Africa, bristling with plates near the neck and pairs of long, sharp spikes running down its back and tail. It also carried a spike jutting from each shoulder for defense.",2026-07-22 15:53:52
lambeosaurus,2026-07-19 15:34:48,,"A duck-billed dinosaur with an unusual hatchet-shaped hollow crest atop its head, distinct for its forward-leaning shape. The crest's internal chambers likely helped it produce and recognize distinctive calls.",2026-07-22 15:53:52
troodon,2026-07-19 15:34:49,,"A small, bird-like predator with one of the largest brains relative to body size of any dinosaur, plus large eyes suited to hunting in low light. Its sickle claw and dexterous hands made it an agile, intelligent hunter.",2026-07-22 15:53:53
utahraptor,2026-07-19 15:34:49,,"The largest known raptor, roughly the size of a polar bear, armed with a foot-long sickle claw on each foot. Far bulkier and more powerful than Velociraptor, it was a heavyweight ambush predator of the Early Cretaceous.",2026-07-22 15:53:54
